@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
1.301E2,8.242E-1,?,7.094E2,1.342E-3,1.275E-1,?,1.12E2,?,?,?,-2.655E-2,5.631E-2,-1.758E-2,-7.347E-2,2.411E-2,4.801E-2,8.132E-2,1.148E-1,3.971E-2,0E0,6.747E-1,1.297E2,5.247E3,-2.618E4,5.193E7,?,?,?,?,?,?,?,?,?,?
1.234E2,8.398E-1,?,4.895E2,8.529E-4,8.314E-2,?,9.3E1,?,?,?,-6.482E-2,-1.082E-1,7.434E-2,1.681E-1,-7.911E-3,-8.492E-2,-7.594E-3,-2.389E-2,-1.479E-2,0E0,4.529E-1,1.261E2,5.887E3,2.318E4,5.683E7,?,?,?,?,?,?,?,?,?,?
1.388E2,8.789E-1,?,7.348E2,1.845E-3,1.832E-1,?,1.21E2,?,?,?,9.785E-2,-1.33E-1,3.611E-3,-6.877E-2,-8.359E-2,-6.553E-2,-2.459E-2,3.582E-2,7.186E-3,0E0,9.657E-1,1.318E2,5.918E3,-2.819E4,6.066E7,?,?,?,?,?,?,?,?,?,?
1.257E2,8.711E-1,?,5.829E2,1.13E-3,1.019E-1,?,1.13E2,?,?,?,1.487E-2,-7.2E-2,3.152E-2,-4.167E-2,-5.892E-2,-4.129E-2,-6.761E-3,-8.5E-6,-1.097E-2,0E0,6.002E-1,1.262E2,5.802E3,-9.534E3,5.931E7,?,?,?,?,?,?,?,?,?,?
1.351E2,8.203E-1,?,7.141E2,1.033E-3,1.046E-1,?,1.19E2,?,?,?,1.284E-1,2.378E-2,-1.21E-1,9.816E-2,-6.158E-2,2.974E-2,-1.346E-4,8.979E-2,7.575E-2,0E0,5.047E-1,1.308E2,5.078E3,-4.547E4,4.639E7,?,?,?,?,?,?,?,?,?,?
1.466E2,9.609E-1,?,7.598E2,1.371E-3,1.201E-1,?,9.7E1,?,?,?,4.462E-2,-1.336E-1,-1.769E-2,-9.358E-2,7.811E-2,-9.385E-2,8.137E-3,-1.233E-1,-1.926E-1,0E0,6.383E-1,1.359E2,6.394E3,-3.059E4,6.757E7,?,?,?,?,?,?,?,?,?,?
1.116E2,8.203E-1,?,6.923E2,9.486E-4,9.225E-2,?,1.02E2,?,?,?,-1.441E-1,-2.386E-2,4.979E-2,7.653E-2,5.656E-2,5.112E-2,-9.689E-3,3.827E-2,5.148E-2,0E0,4.627E-1,1.208E2,5.73E3,9.006E4,5.582E7,?,?,?,?,?,?,?,?,?,?
1.168E2,8.477E-1,?,5.384E2,1.306E-3,1.218E-1,?,1.05E2,?,?,?,-4.843E-2,-8.184E-2,8.437E-2,-6.317E-2,-2.008E-2,-2.243E-2,4.742E-2,1.012E-1,-5.961E-3,0E0,6.815E-1,1.227E2,5.4E3,5.005E4,5.312E7,?,?,?,?,?,?,?,?,?,?
1.116E2,8.32E-1,?,6.111E2,1.144E-3,9.827E-2,?,1.01E2,?,?,?,-1.235E-1,-1.032E-1,3.694E-3,6.815E-2,-7.554E-2,-1.286E-2,6.848E-2,-2.508E-2,-6.828E-2,0E0,5.677E-1,1.198E2,6.19E3,4.587E4,6.161E7,?,?,?,?,?,?,?,?,?,?
1.22E2,8.633E-1,?,6.224E2,1.212E-3,1.122E-1,?,1.19E2,?,?,?,1.257E-1,-7.563E-2,-1.084E-1,-2.766E-2,-9.316E-2,-5.929E-3,1.927E-2,1.489E-2,-2.06E-1,0E0,6.011E-1,1.262E2,6.206E3,-2.427E4,6.457E7,?,?,?,?,?,?,?,?,?,?
1.135E2,7.695E-1,?,5.337E2,1.46E-3,1.197E-1,?,1.11E2,?,?,?,-9.062E-2,1.358E-2,-7.036E-3,2.58E-2,-4.61E-2,-1.349E-1,-4.22E-2,-8.331E-2,3.4E-2,0E0,7.333E-1,1.213E2,5.406E3,3.562E4,5.445E7,?,?,?,?,?,?,?,?,?,?
